Symbol,Date,is_sellable,oh_pct,ol_pct,oc_pct,co_pct,cc_pct
DIS,2010-01-01,1,0.8082155761917944,0.7716189276479032,-0.07948690395436234,-0.03520906428404817,-0.041499900937262205
DIS,2010-01-04,0,-0.0780414637261048,-1.2422181797598417,-1.1849957690552106,0.895719148019062,-0.438445942088003
DIS,2010-01-05,0,-0.6809502331299329,-0.35614451661781876,-0.24383373290578692,-0.03520906428404817,-0.21891056271340287
DIS,2010-01-06,0,-0.6404224807994836,0.1678552689117978,-0.24499909803659542,-0.3730670369267136,-0.41944034597372015
DIS,2010-01-07,0,-0.6776802126439306,0.1291278546675309,0.14040031715773565,-0.22391072894008116,-0.019149335557162545
DIS,2010-01-08,0,0.06406929654691575,0.48293237507977865,0.5839939930248917,-0.6765931577746783,0.07021781668684428
DIS,2010-01-11,0,-0.20538471337469694,-0.6291361096814553,-0.49780426309338577,-1.3536346849077903,-1.2015419178928517
DIS,2010-01-12,1,-0.629448780890374,-0.2910394151196186,-0.5903548357762016,-1.3372024122309314,-1.2661341318471593
DIS,2010-01-13,1,0.8902141566620898,0.8734634685999388,1.109997745209293,0.2375450485354477,1.0430609215341462
DIS,2010-01-14,0,-0.8290499126295893,0.32995209600887804,-0.3349170946181137,-0.6492825159278972,-0.6551868533395397
DIS,2010-01-15,1,-0.4701505400538624,-1.2381512363548666,-1.1841868397382382,-0.07392271334499892,-1.0044331567913367
DIS,2010-01-18,1,-0.4701505400538624,-1.2381512363548666,-1.1841868397382382,1.573836463451613,-0.041499900937262205
DIS,2010-01-19,1,1.3930850070755667,0.614362751138448,1.1784446824152046,-0.07445407715564967,0.9114084195267336
DIS,2010-01-20,1,-0.07191756734631502,-0.07329523180656827,0.5121285383152256,-0.07393519759172668,0.37131886162680006
DIS,2010-01-21,0,0.08229292029624227,-1.120250634040253,-1.5171604892832746,-0.22772227266350603,-1.3640170360098767
DIS,2010-01-22,0,-0.1776300737059009,-1.0895782248442374,-1.5197263855937313,-0.46676317511649484,-1.50524653258999
DIS,2010-01-25,0,-0.9864126719364775,-1.5568106994227986,-0.8953974099341325,0.9261497566933953,-0.18383378827449715
DIS,2010-01-26,0,-0.44753024529962215,-0.872173701258514,-0.4369926007755438,-0.5168524040718884,-0.6595169380452947
DIS,2010-01-27,1,0.016365152656767096,-1.1543272009330718,-0.7368934305137952,-0.44009692465863415,-0.8567605102910301
DIS,2010-01-28,1,-0.8280835159999612,-1.8158442023071033,-0.2634500487614046,0.41533224992403095,0.03126902713863888
DIS,2010-01-29,1,0.863405956746503,0.4852274326189694,0.5120996535815032,0.0466238075299794,0.44313041619737686
DIS,2010-02-01,1,-0.3185492185073406,-0.035702452014997464,-0.2620814703367975,0.16798846428972297,-0.11370243803321461
DIS,2010-02-02,1,0.9785224871934424,-0.23877486129969286,1.3107062974452277,0.005471741741391107,1.0667307751526436
DIS,2010-02-03,1,2.8907588236885577,0.45596946695213164,2.406651462298628,-0.2755487695284024,1.7851183198906706
DIS,2010-02-04,0,-0.1714571750151563,-1.365400931680248,-1.7911402050073686,-1.8707270321519307,-2.5393554769590088
DIS,2010-02-05,1,-0.1526835554428441,-1.4923349628414881,-0.2914272358256452,-0.19710962294547024,-0.35311213130922986
DIS,2010-02-08,1,-0.23943164956890697,-0.1916724958310846,-0.8499358944778,0.859162725328759,-0.1859538597175738
DIS,2010-02-09,1,-0.4079922474282893,-0.6022624991484624,-0.17179787637745178,1.63496709408472,0.8269878756646062
DIS,2010-02-10,1,2.908240064117725,0.4431828849904687,2.5902819528838092,-2.7718385141241533,0.4113387323571999
DIS,2010-02-11,1,1.4969622550962707,0.7193798882609943,0.9743464449467,-0.8749974516064312,0.2663767182813856
DIS,2010-02-12,1,0.37780530396964346,0.9465704274815279,0.5913566156733272,-1.2297356496995142,-0.25372652273950913
DIS,2010-02-15,1,0.37780530396964346,0.9465704274815279,0.5913566156733272,-0.8738803403496002,-0.041499900937262205
DIS,2010-02-16,1,-0.04855528717166792,0.610739865044811,0.5832070715976341,0.7235887569181128,0.9045526303498389
DIS,2010-02-17,1,0.7124431279885111,0.502319812428629,1.0095459084622218,0.08302828988768993,0.8687923414456831
DIS,2010-02-18,1,-0.2680052053781737,0.21526409333249266,0.3722762155548498,0.042619671546869936,0.327233729857338
DIS,2010-02-19,1,1.0426315737783869,0.4002138242914844,0.6252411555713885,-0.112636362405963,0.439966726989775
DIS,2010-02-22,0,-0.5549142559813304,-0.097926300360818,-0.668292726216554,0.4262308565117282,-0.2920008581689604
DIS,2010-02-23,1,0.08766338652514147,0.47290857723824387,-0.2231673483513772,-0.5368692866594734,-0.4985660901371871
DIS,2010-02-24,1,0.6402750305538446,0.6922602968675551,0.8492099607819753,0.5862126143037782,1.0395532862738899
DIS,2010-02-25,1,1.2126912829705827,0.9465704274815279,1.4240417253273698,-2.101104549121081,-0.10947011346307438
DIS,2010-02-26,1,-1.0272454025960165,-0.5992076730222178,-0.4996099856127387,0.15626054570815073,-0.31364084113946333
DIS,2010-03-01,1,-0.043222180482068905,0.9105532989352371,0.5061301419455663,0.38764213074096815,0.6414658388787613
DIS,2010-03-02,1,0.8566708119549631,0.7670002970861507,1.2016693851128342,-0.4159628353274776,0.7251655928304269
DIS,2010-03-03,1,-0.9499777056310168,-0.4321503682954927,-0.8485340865776632,0.1908067563943152,-0.5769039087629165
DIS,2010-03-04,1,2.289035858830747,0.6642861825000073,1.5363279398769414,1.3311722941026758,2.048927852120341
